13,N. C. Nahar,CRISIL BB/CRISIL A4+,25-Jun-12,"CRISIL BB+/CRISILA4+",22-Sep-14,"CRISIL BBB-/CRISILA3",28-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,
14,N. E. Agency,CRISIL B+/CRISIL A4,24-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,N. K. Bhojani Private Limited,CRISIL B/CRISIL A4,12-Jan-09,"CRISIL B+/CRISILA4",18-Mar-10,CRISIL B-/CRISIL A4,26-Apr-12,"CRISIL B+/CRISILA4",4-Dec-12,"CRISIL BB-/CRISIL A4+",11-Mar-15,,,,,,,,,,,,,,,,,,,,,,
16,N. K. Gade,CRISIL BB-/CRISIL A4+,5-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,N. K. Sharma Enterprises Limited,CRISIL B,30-Jul-13,CRISIL D,22-Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,N. P. Syndicate - Kolkata,CRISIL BB-,20-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,N. R. C. Industries Limited,CRISIL BB/CRISIL A4+,29-Nov-11,"CRISIL BB-/CRISILA4+",13-Aug-13,CRISIL B+/CRISIL A4,26-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,
20,N. S. Engineering Projects Private Limited,CRISIL B-/CRISIL A4,15-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,N. S. Impex India Private Limited,CRISIL B-,28-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,N. S. Nayak and Sons,CRISIL BB-/CRISIL A4+,21-Dec-11,"CRISIL BB+/CRISILA4+",31-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,N. S. Precision Works Private Limited,CRISIL BB,26-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,N. Satish Exports Private Limited,CRISIL A4,26-Mar-09,CRISIL B+,26-Oct-10,CRISIL BB-,30-Jan-14,CRISIL BB,24-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,
25,N. Z. Seasonal Wear Private Limited,CRISIL BB,13-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,N.C. Jewellers,CRISIL BB-,13-Dec-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,N.I. Infra Engineering Private Limited,CRISIL B+/CRISIL A4,10-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,N.K. Buildcon Private Limited,CRISIL BB/CRISIL A4+,27-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,N.Mahalingam and Company,CRISIL BB+,12-Oct-10,CRISIL BB,20-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,N.P. Agro India Industries Limited,CRISIL BB/CRISIL A4+,24-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,N.S. Cashew Company,CRISIL BB-,29-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,N.S.K. Builders Private Limited,CRISIL B/CRISIL A4,23-Jul-14,CRISIL D/CRISIL D,13-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,N.S.K. Fruits,CRISIL B+,24-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,N.S.P. Tex,CRISIL BB+,30-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,N.S.R. Mills,CRISIL B,24-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,N.T. Rahamathulla Khan Associates,CRISIL BB/CRISIL A4+,7-Aug-14,CRISIL BB,6-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Naachiyars,CRISIL BB-,27-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Naatchiar Textile Exporters,CRISIL B+/CRISIL A4,18-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Nabakalebar Charitable Trust,CRISIL D,7-Jul-10,Suspended,25-Jul-13,CRISIL B-,7-Oct-13,CRISIL D,13-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,
40,Nabam Tullon LLP,CRISIL BBB-/CRISIL A3,25-Apr-12,"CRISIL BBB/CRISILA3+",24-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,NAC Jewellers Private Limited,CRISIL BB+/CRISIL A4+,13-Jun-14,"CRISIL BBB-/CRISILA3",18-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Nachiar Spinning Mills Private Limited,CRISIL B+/CRISIL A4,18-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Nafisa Noor,CRISIL BB,29-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Nafref Engineers Private Limited,CRISIL B+/CRISIL A4,30-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Naga Sindhu Spinning and Ginning Mills Private Limited,CRISIL B-/CRISIL A4,10-Dec-10,CRISIL D/CRISIL D,25-Jul-12,CRISIL D,24-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Nagar Dairy Private Limited,CRISIL D,11-Feb-10,CRISIL BB-,20-Apr-11,"CRISIL BB-/CRISILA4+",8-Aug-11,CRISIL BB,31-Oct-12,,,,,,,,,,,,,,,,,,,,,,,,
47,Nagarjuna Education Society,CRISIL B,21-Jun-11,CRISIL BB-,30-May-12,CRISIL BB+,24-Jun-13,CRISIL BBB-,22-Jul-14,CRISIL BBB,8-Jul-15,,,,,,,,,,,,,,,,,,,,,,
48,Nagarjuna Hospitals Limited,CRISIL B,18-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Nagarjuna Hydro Energy Private Limited,CRISIL D,25-Feb-11,Suspended,5-Feb-13,CRISIL BBB-,18-Mar-15,CRISIL BBB,8-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,
50,Nagarjuna Steel Private Limited,CRISIL B+/CRISIL A4,24-May-13,CRISIL B,5-Nov-14,CRISIL B+,14-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Nagarsheth Shipbreakers,CRISIL B/CRISIL A4,15-Dec-11,CRISIL B,17-Oct-14,CRISIL D,26-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Nagman Instruments and Electronics Private Limited,CRISIL BB/CRISIL A4+,22-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Nagode International Private Limited,CRISIL BB/CRISIL A4+,14-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Nagoorar Enterprises,CRISIL BB-,28-Feb-15,CRISIL B+,6-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Nagpal Exports,CRISIL BB-/CRISIL A4+,22-Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Nagpal Warehouse Inc.,CRISIL B+,28-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Nagpur Beverages Private Limited,CRISIL B+,28-Feb-15,CRISIL B,6-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Nagpur Distillers Private Limited,CRISIL BB,20-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Nagpur Estates Private Limited,CRISIL BB,21-Sep-10,CRISIL BB+,6-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Nagpur Sortex,CRISIL B,31-Dec-12,CRISIL B+,30-Jun-15,CRISIL BB-,6-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Nagreeka Brij Hotels Vadodara Private Limited,CRISIL B,10-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Nagreeka Indcon Products Private Limited,CRISIL BB/CRISIL A4+,10-Oct-13,"CRISIL BB+/CRISILA4+",12-Nov-14,"CRISIL BBB/CRISILA3+",12-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Nahalchand Laloochand Private Limited,CRISIL B+,31-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Nahar Poly Films Limited,CRISIL BBB-/CRISIL A3,9-Apr-10,"CRISIL BBB/CRISILA3+",9-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Nahar Spinning Mills Limited,CRISIL AA+,27-Apr-95,"CRISIL AA+/CRISILA1+",1-Oct-96,CRISIL A1+,11-Dec-02,"CRISIL A+/CRISILA1+",19-May-08,"CRISILA/CRISIL A1",7-Nov-08,"CRISILA+/CRISIL A1+",18-Nov-10,"CRISIL A/CRISILA1",19-Dec-11,,,,,,,,,,,,,,,,,,
66,Naini Seed Products,CRISIL BB-,30-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Nakkheeran Publications,CRISIL B,23-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Nakoda Agro Tech,CRISIL B+,18-Aug-14,CRISIL BB-,17-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Nakoda Industries,CRISIL BB-,16-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Nakoda Unique Gold Private Limited,CRISIL BB+,3-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Nakul Enterprise,CRISIL B/CRISIL A4,11-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Nalanda Builders and Developers India Limited,CRISIL B+,23-Mar-11,Suspended,13-Feb-13,CRISIL BB-,26-Aug-15,CRISIL D,26-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,
73,Nalanda Engicon Private Limited,CRISIL B+/CRISIL A4,18-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Namaste Airport Services Private Limited,CRISIL B+,29-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Namaste Exports Limited,CRISIL BB/CRISIL A4+,21-Apr-15,"CRISIL B+/CRISILA4",18-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Namaste India Aviation Private Limited,CRISIL BB-/CRISIL A4+,29-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Namdhari Agro Fresh Private Limited,CRISIL BBB,18-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Namdhari Seeds Private Limited,CRISIL A-,27-Oct-09,"CRISIL A-/CRISILA2+",23-Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Namrata Developers Private Limited,CRISIL B,26-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Namratha Oil Refineries Private Limited,CRISIL BBB/CRISIL A3+,28-Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Nancy Krafts,CRISIL BB/CRISIL A4+,29-Mar-10,"CRISIL BB-/CRISILA4+",11-May-12,Suspended,7-Dec-14,"CRISIL BB-/CRISIL A4+",30-Nov-15,"CRISILB/CRISIL A4",28-Feb-17,,,,,,,,,,,,,,,,,,,,,,
82,Nancy Krafts Private Limited,CRISIL BB/CRISIL A4+,23-Oct-09,"CRISIL BB-/CRISILA4+",11-May-12,Suspended,7-Dec-14,"CRISIL BB-/CRISIL A4+",30-Nov-15,"CRISILB/CRISIL A4",1-Mar-17,,,,,,,,,,,,,,,,,,,,,,
83,Nand Hospitality Private Limited,CRISIL B+/CRISIL A4,24-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Nand Kishore and Sons,CRISIL BB-/CRISIL A4+,1-Jun-11,Suspended,7-Mar-14,"CRISIL BB/CRISILA4+",23-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Nanda Gokula Industries,CRISIL B+,30-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Nandan Cotex Private Limited,CRISIL B,29-Jul-13,CRISIL B+,12-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Nandan Denim Limited,CRISIL BBB+/CRISIL A2,30-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Nandan Petrochem Limited,CRISIL BB/CRISIL A4,27-Aug-09,"CRISIL BB/CRISILA4+",15-Sep-09,Suspended,21-Oct-13,"CRISIL BBB-/CRISIL A3",31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,
89,Nandan Steels and Power Limited,CRISIL BBB/CRISIL A3+,30-Sep-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Nandanam Sanitaries,CRISIL B+/CRISIL A4,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Nanded Waghala City Municipal Corporation,CCR BBB-?,27-Aug-08,CCR BB+,12-Dec-14,CCR BBB-,30-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Nandhana Foods Private Limited,CRISIL BB/CRISIL A4+,20-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Nandi Sahakari Sakkare Karakhane Niyamit,CRISIL BB+,2-Jun-09,Suspended,3-Feb-11,CRISIL BB+,18-Jul-13,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Nandilath G-Mart,CRISIL B,27-Feb-13,CRISIL B+,17-Jun-14,"CRISIL BB-/CRISILA4+",30-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Nandini Creation,CRISIL B,5-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Nandnandan Silk Mills Private Limited,CRISIL B+,27-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Nandu Chemicals Private Limited,CRISIL B/CRISIL A4,18-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Nandyal Municipality,CCR BB+,12-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Nanibala Cold Storage Private Limited,CRISIL B+,28-Dec-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Nanma Properties Private Limited,CRISIL BB,2-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Nano Minpro Private Limited,CRISIL B/CRISIL A4,28-Dec-13,CRISIL D/CRISIL D,11-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Nanz Med Science Pharma Private Limited,CRISIL BB/CRISIL A4+,18-Dec-15,"CRISIL BB+/CRISILA4+",3-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Naps (India) Shoes Private Limited,CRISIL A4+,29-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Narain and Company,CRISIL B+/CRISIL A4,5-Apr-10,"CRISIL BB-/CRISILA4+",23-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Narain Printers and Binders,CRISIL B-/CRISIL A4,3-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Narain Singh Bundela and Co.,CRISIL B+/CRISIL A4,31-May-12,"CRISIL B-/CRISILA4",16-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Naranjan Rice Exports Private Limited,CRISIL A4,30-Apr-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Narasimha Industries,CRISIL B+,30-Apr-11,CRISIL BB-,5-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Narayan Agro Foods Limited,CRISIL BB+,13-May-09,CRISIL C,19-Jul-10,Suspended,4-Jul-16,CRISIL C,16-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,
110,Narayan Cotton Industries,CRISIL B,11-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Narayan Industries,CRISIL A3,18-Jan-13,"CRISIL BBB-/CRISILA3",18-Jun-14,"CRISIL BBB/CRISILA3+",21-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Narayan International,CRISIL A3,18-Jan-13,CRISIL A3+,21-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Narayan Organics Private Limited,CRISIL BB+/CRISIL A4+,17-Oct-12,"CRISIL BBB-/CRISILA3",29-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Narayan Powertech Private Limited,CRISIL BBB/CRISIL A3+,26-Jun-12,"CRISILBBB+/CRISIL A2",20-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Narayana Hrudayalaya Limited,CRISIL A+/CRISIL A1,26-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"Narayana Hrudayalaya Surgical Hospital PrivateLimited",CRISIL A+(SO),12-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Narayana Reddy And Others,CRISIL B+/CRISIL A4,17-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Narayani Coke Private Limited,CRISIL BB-/CRISIL A4,7-Aug-09,"CRISIL BB-/CRISILA4+",15-Sep-09,"CRISIL BB/CRISILA4+",18-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Narbada Dairy Foods And Farms Private Limited,CRISIL D,20-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Narcinva Damodar Naik,CRISIL BB,28-Aug-12,CRISIL B+,12-Sep-13,CRISIL B,16-Dec-14,CRISIL B-,15-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,
121,Naredi Texfab Private Limited,CRISIL B+/CRISIL A4,13-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Narendra Emporis Limited,CRISIL BB,7-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Narendra Nath Cold Storage Private Limited,CRISIL B,27-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Naresh Cloth Store,CRISIL B+,25-Sep-14,CRISIL B,11-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Naresh Exports,CRISIL A4+,17-Oct-12,CRISIL A3,26-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Naresh Kumar Rajendra Kumar,CRISIL B+,25-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Narmada Bio Chem Limited,CRISIL BBB-/CRISIL A3,5-Aug-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Narmada Cars Private Limited,CRISIL BBB-,31-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Narmada Cereal Private Limited,CRISIL D,4-Mar-10,CRISIL B-,28-May-10,CRISIL B,5-May-11,"CRISIL B/CRISILA4",13-Sep-11,"CRISILB+/CRISIL A4",6-Jun-13,,,,,,,,,,,,,,,,,,,,,,
130,Narmada Iron and Associates Private Limited,CRISIL BB,23-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Narmada Solvex Private Limited,CRISIL B-,28-May-10,CRISIL B,20-Sep-12,CRISIL BB-,10-Sep-13,CRISIL BB+,17-Nov-14,CRISIL BB,14-Feb-17,,,,,,,,,,,,,,,,,,,,,,
132,Narmada Spinning Private Limited,CRISIL B/CRISIL A4,22-Apr-15,"CRISIL B+/CRISILA4",18-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Narmada Spun Private Limited,CRISIL B/CRISIL A4,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Narnarayan Infrastructure Private Limited,CRISIL BB-/CRISIL A4+,27-Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Narol Textile Infrastructure & Enviro Management,CRISIL B+/CRISIL A4,18-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Narola Gems,CRISIL BBB-,19-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Narula Build Well Private Limited,CRISIL BB-/CRISIL A4+,26-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Narula Exports,CRISIL B+/CRISIL A4,13-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Narula Oil and Fats Private Limited,CRISIL BB-,15-Dec-14,Suspended,29-Mar-16,CRISIL BB-,30-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Naruvizhi Ambal Modern Rice Mill Private Limited,CRISIL B,28-Jun-14,Suspended,29-Dec-15,CRISIL B+,28-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Narveda Motors Private Limited,CRISIL BB-,16-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Naser Tanning Company,CRISIL BBB-/CRISIL A3+,5-Oct-10,"CRISIL BBB-/CRISILA3",19-Feb-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Nash Industries India Private Limited,CRISIL BBB+/CRISIL A2,4-Nov-08,"CRISIL A-/CRISILA2+",17-Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Nash Products,CRISIL A-/CRISIL A2+,12-Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Nashik Municipal Corporation,CRISIL AA(SO),10-May-99,CRISIL AA-,6-Apr-00,CRISIL AA(SO),10-Oct-00,"CCR AA-/CRISILAA(SO)",27-Aug-08,CCR AA-,8-Mar-13,"CCR AA-/CRISILAA-",14-Mar-13,CRISIL AA-,17-Jun-14,,,,,,,,,,,,,,,,,,
146,Nassco Trading India Private Limited,CRISIL B+,13-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Name of the Issuer,Initial Rating,Date of Initial Rating,"Rating after 1stRevision","Date of 1stRevision","Rating after 2ndRevision","Date of 2ndRevision","Rating after 3rdRevision","Date of 3rdRevision","Rating after 4thRevision","Date of 4thRevision","Rating after 5thRevision","Date of 5thRevision","Rating after 6thRevision","Date of 6thRevision","Rating after 7thRevision","Date of 7thRevision","Rating after 8thRevision","Date of 8thRevision","Rating after 9thRevision","Date of 9thRevision","Rating after 10thRevision","Date of 10thRevision","Rating after 11thRevision","Date of 11thRevision","Rating after 12thRevision","Date of 12thRevision","Rating after 13thRevision","Date of 13thRevision","Rating after 14thRevision","Date of 14thRevision","Rating after 15thRevision","Date of 15thRevision"
147,Nataraj Mobiles Private Limited,CRISIL BBB,7-Feb-14,"CRISIL BBB/CRISILA3+",11-Feb-14,CRISIL BBB,25-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Natasha Automobiles Private Ltd,CRISIL B+,17-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Nath Bio-Genes India Limited,CRISIL BBB-,12-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Nath Motors Private Limited,CRISIL B+,24-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Nation Exim,CRISIL B,2-May-12,CRISIL B+,13-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,National Bank For Agriculture and Rural Development,CRISIL AAA,28-Feb-97,"CRISIL AAA/CRISILA1+",28-Oct-05,"CRISILAAA/FAAA/CRISILA1+",9-Dec-10,,,,,,,,,,,,,,,,,,,,,,,,,,
153,National Capital Region Planning Board,CRISIL AAA(SO),4-Feb-98,Withdrawal,23-Oct-07,CRISIL AAA,6-Feb-08,,,,,,,,,,,,,,,,,,,,,,,,,,
154,National Electronics,CRISIL B+,23-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,National Export Industries,CRISIL B/CRISIL A4,15-Nov-10,"CRISIL B+/CRISILA4",22-Feb-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,National Fabro Technologies Private Limited,CRISIL B/CRISIL A4,22-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,National Fertilizers Limited,CRISIL AA+,31-Mar-96,"CRISIL AA+/CRISILA1+",30-Sep-96,"CRISIL AA-/CRISILA1+",16-Jun-00,"CRISIL A+/CRISILA1",11-Jul-01,"CRISILA+/CRISIL A1+",8-Aug-05,"CRISIL AA-/CRISIL A1+",5-Jan-10,,,,,,,,,,,,,,,,,,,,
158,National Ginning and Pressing Industries,CRISIL B,31-Jul-14,CRISIL B-,18-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,National Highways Authority of India,CRISIL AAA,27-Jul-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,National Housing Bank,CRISIL AAA,12-Oct-04,CRISIL AAA/FAAA,11-Apr-08,"CRISILAAA/FAAA/CRISILA1+",2-May-08,,,,,,,,,,,,,,,,,,,,,,,,,,
161,National Industries,CRISIL BB+/CRISIL A4+,29-Aug-13,Suspended,4-Feb-15,CRISIL BBB-,5-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,
162,National Industries - Faridkot,CRISIL B+,14-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,National Institute of Event Management,CCR BB,31-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,National Insurance Co. Limited.,CRISIL AAA,11-Jul-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
