18,A One Steel and Alloys Private Limited,CRISIL BB,10-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A One Steels India Private Limited,CRISIL B/CRISIL A4,16-Nov-12,"CRISIL BB-/CRISILA4+",18-May-15,"CRISIL BB/CRISILA4+",13-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A P Fashions Private Limited,CRISIL BB/CRISIL A4+,31-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A P Organics Limited,CRISIL BB,20-Oct-08,CRISIL BBB-,11-Dec-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A P Steel Re-Rolling Mill Limited,CRISIL BB-/CRISIL A4+,19-Jun-12,"CRISIL B+/CRISILA4",13-Feb-14,Suspended,29-Jul-16,"CRISIL B/CRISILA4",27-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A R C India Petroleum Private Limited,CRISIL B/CRISIL A4,31-Mar-15,"CRISIL B+/CRISILA4",12-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A R Constructions,CRISIL BB-,24-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,A R Polymers Private Limited,CRISIL BB/CRISIL A4+,22-Sep-09,Suspended,13-Jun-14,"CRISIL BB/CRISILA4+",11-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,A R S Fabrics Private Limited,CRISIL B+,15-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,A R Sulphonates Private Limited,CRISIL BBB+/CRISIL A2+,31-Aug-10,"CRISIL BBB/CRISILA2",19-Nov-12,CRISIL BBB,13-Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,A S Chattha Exim Private Limited,CRISIL B+,22-Jan-13,CRISIL B/CRISIL A4,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,A S Marine Industries Private Limited,CRISIL BB-/CRISIL A4+,29-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,A S Pharma Pvt. Ltd.,CRISIL BB,29-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,A to Z Developers Limited,CRISIL B+,29-Jun-13,CRISIL BB-,26-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,A to Z Logistics Limited,CRISIL BB-,21-Nov-13,CRISIL BB,5-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,A. Automovers Private Limited,CRISIL BB-,6-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,A. B. Kanisha Timbers,CRISIL B+/CRISIL A4,12-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,A. B. Pal Electricals Private Limited,CRISIL B+,28-Feb-15,"CRISIL B+/CRISILA4",18-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,A. B. Polypacks Private Limited,CRISIL BB+/CRISIL A4+,5-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,A. B. V. Govindu,CRISIL B,30-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,A. D. Jeyaveerapandia Nadar and Bros (Nagapattinam),CRISIL BB-,30-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,A. Duraisamy Modern Rice Mill,CRISIL B+,10-Aug-12,CRISIL BB-,19-Sep-14,"CRISIL BB-/CRISILA4+",11-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,A. G. Construction,CRISIL B+/CRISIL A4,19-Dec-13,"CRISIL BB/CRISILA4+",29-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,A. Geeri Pai Gold and Diamonds,CRISIL B+,28-Nov-14,CRISIL B,15-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,A. H. Alloys,CRISIL B+,9-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,A. K. Enterprises - Biharsharif,CRISIL B+,20-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,A. K. G.  Steel Industries,CRISIL BB-/CRISIL A4+,8-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,A. K. Pipe Fitting Private Limited,CRISIL B,24-Aug-15,CRISIL D/CRISIL D,2-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,A. M. Mohammed Ali,CRISIL BB-/CRISIL A4+,20-Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,A. M. R. Rathinasabapathy and Bros,CRISIL BBB,29-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,A. N. R. Cotton Traders,CRISIL B+,20-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,A. P. Bhandari Developers,CRISIL B+,18-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,A. R. Chains,CRISIL B+,6-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,A. S. Betgeri,CRISIL B+/CRISIL A4,5-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,A. S. Carriers Private Limited,CRISIL B+,5-May-09,CRISIL D,4-Apr-12,CRISIL B,27-Oct-14,Suspended,11-Jul-16,CRISIL BB+,8-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,A. S. Enterprise,CRISIL BB/CRISIL A4+,15-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,A. T. Exports,CRISIL BB-/CRISIL A4+,15-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,A.A. Autotech Private Limited,CRISIL A/CRISIL A1,29-Sep-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,A.G. Babu Sah,CRISIL B,30-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,A.G. Motor,CRISIL B-,31-Dec-15,CRISIL D,22-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,A.G. Peripherals,CRISIL BBB+,26-May-15,"CRISIL BBB/CRISILA3+",19-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,A.G. Rice Mills,CRISIL B,21-Feb-12,Suspended,9-Dec-13,CRISIL B+,31-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,A.K.Spintex Limited,CRISIL BB,28-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,A.Kishore,CRISIL B,1-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,A.M. Fisheries,CRISIL BB-/CRISIL A4+,8-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,A.N.E. Industries Private Limited,CRISIL B-/CRISIL A4,26-May-11,CRISIL C/CRISIL A4,17-Sep-12,CRISIL B/CRISIL A4,4-Apr-14,"CRISIL C/CRISILA4",21-Oct-14,"CRISILB/CRISIL A4",18-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,A.P.I. Civilcon Private Limited,CRISIL BB-/CRISIL A4+,19-Oct-11,"CRISIL BB+/CRISILA4+",8-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,A.R. Thermosets Private Limited,CRISIL BBB-/CRISIL A3,18-Sep-09,"CRISIL BB/CRISILA4+",23-Dec-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,A.R.R. Foods And Consumer Products Private Limited,CRISIL BB,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,A.R.T. Fabrication Industries Private Limited,CRISIL B+,29-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,A.Ramanathan & Co.,CRISIL B/CRISIL A4,15-Nov-12,Withdrawal,20-Jan-15,CRISIL B+/CRISIL A4,30-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,A.S. Emporium,CRISIL B+,24-Jun-14,Suspended,29-Dec-15,CRISIL B+,13-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,A.S. Shipping Agencies Private Limited,CRISIL BBB-/CRISIL A3,25-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,A.S. Steel Traders,CRISIL BB-,31-Jan-12,Suspended,20-Dec-13,CRISIL BB-,18-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,A.S.Cargo Movers Private Limited,CRISIL B,27-Aug-13,Suspended,19-May-16,CRISIL B+,8-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,A.T. Trade Overseas Private Limited,CRISIL BB+/CRISIL A4+,8-Jul-10,"CRISIL BBB-/CRISILA3",31-Oct-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,A.T.E. Enterprises Private Limited,CRISIL BBB-/CRISIL A3,24-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,A.V. Marble Palace,CRISIL B+,8-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,A.V. Properties India Private Limited,CRISIL BB-,6-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,A.V. Thomas and Co. Limited,CRISIL A-/CRISIL A1,19-Mar-09,CRISIL A/CRISIL A1,16-Apr-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"A.V. Thomas Leather and Allied Products PrivateLimited",CRISIL A3,18-May-09,CRISIL BBB,13-Dec-12,"CRISIL BBB/CRISILA2",17-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,A.V.M.Sales Corporation,CRISIL BBB-/CRISIL A3,29-Jun-11,"CRISIL BB+/CRISILA4+",17-Apr-13,"CRISIL BB/CRISILA4+",31-Jul-14,"CRISIL BB-/CRISIL A4+",10-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,A.V.R.N.Hotels Private Limited,CRISIL B,30-Aug-12,CRISIL B-,6-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,A-1 Facility And Property Managers Private Limited,CRISIL BB/CRISIL A4+,9-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,A-1 Heights and Hospitality Private Limited,CRISIL B,19-Jun-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,AA Agro Energy Private Limited,CRISIL D,17-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Aabharan Jewellery,CRISIL B,20-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Aachi Special Foods Private Limited,CRISIL BB+,30-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Aadhar Housing Finance Limited,CRISIL A1+,18-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Aadhar Rice Mill Private Limited,CRISIL BB,11-Aug-15,CRISIL B,30-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Aadharshila,CRISIL B+/CRISIL A4,29-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Aaditya Construction,CRISIL B+/CRISIL A4,21-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Aaditya Kraft & Papers Private Limited,CRISIL B,31-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Aaditya Paptech Private Limited,CRISIL B,11-Feb-13,CRISIL B/CRISIL A4,6-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Aadya Motor Car Company Private Limited,CRISIL B+/CRISIL A4,21-Mar-12,CRISIL B+,8-Apr-13,"CRISIL BB-/CRISILA4+",9-Mar-15,"CRISIL D/CRISILD",31-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Aadya Motor Company India Private Limited,CRISIL B/CRISIL A4,23-Apr-14,CRISIL D/CRISIL D,31-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Aagam Holdings Private Limited,CRISIL AA-/CRISIL A1+,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Aaj Ka Anand Papers Limited,CRISIL BB/CRISIL A4+,20-Mar-15,CRISIL D/CRISIL D,28-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Aakar Constructions,CRISIL BB-/CRISIL A4+,23-Jan-14,"CRISIL BB/CRISILA4+",9-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Aakar Turnkey A Unit of Iris Associates Private Limited,CRISIL A4,19-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Aakarshit Ice and Cold Storage Private Limited,CRISIL B+,19-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Aakash Agrotech Private Limited,CRISIL B+,19-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Aakash Infrastructure - Ahmedabad,CRISIL B,28-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Aamoda Broadcasting Company Private Limited,CRISIL D,20-Jan-12,CRISIL B-,21-Apr-15,CRISIL B,6-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Aamoda Publications Private Limited,CRISIL D/CRISIL D,25-Aug-11,"CRISIL B-/CRISILA4",21-Apr-15,CRISIL B/CRISIL A4,6-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Aan Motors Private Limited,CRISIL BB-,16-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Aananda Lakshmi Spinning Mills Limited,CRISIL D,26-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Aanav Construction Co.,CRISIL B+/CRISIL A4,25-Mar-14,Suspended,28-Aug-15,CRISIL B-/CRISIL A4,2-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Aanuj Infraprojects Private Limited,CRISIL B+/CRISIL A4,8-Mar-10,"CRISIL BB-/CRISILA4+",29-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,AAR CEE Contracts Private Limited,CRISIL BB/CRISIL A4+,19-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,AAR DEE Extrusions (India) Private Limited,CRISIL B+,20-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Aaradhya Disposal Industries Private Limited,CRISIL BB-,14-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Aarcot Ceramic Private Limited,CRISIL B+/CRISIL A4,21-Oct-14,CRISIL D/CRISIL D,10-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Aarem Tradex Private Limited,CRISIL BB+,19-Sep-14,CRISIL BBB-,30-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Aark India Educational Trust,CRISIL B,17-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Aarkay Instruments Private Limited,CRISIL B+/CRISIL A4,21-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Aarti Construction Company,CRISIL BB-/CRISIL A4+,31-Oct-15,"CRISIL BB/CRISILA4+",16-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Aarti Drugs Limited,CRISIL A/CRISIL A1,31-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Aarti Extractions Limited,CRISIL BB-,17-Feb-12,CRISIL BB,25-Oct-13,CRISIL BB+,8-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Aarti Industries Limited,CRISIL A1,13-Jan-98,Withdrawal,2-May-01,"CRISIL A+/CRISILA1+",20-Mar-02,Withdrawal,9-Feb-07,"CRISILA/CRISIL A1",18-Jul-08,"CRISILA+/CRISIL A1",23-Feb-11,"CRISIL AA-/CRISIL A1+",29-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,
118,Aarti Structures Private Limited,CRISIL BB-/CRISIL A4+,26-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Aarvee International,CRISIL BB-/CRISIL A4+,25-Nov-14,CRISIL BB,9-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Aarvi Encon Private Limited,CRISIL BBB-/CRISIL A3,28-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Aashapura Agro Industries,CRISIL B+/CRISIL A4,21-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Aashi Poultry Farms,CRISIL B+,12-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Aashiana Rolling Mills Limited,CRISIL BB+,30-Dec-09,CRISIL BBB-,21-Jan-11,CRISIL BBB,1-Apr-13,"CRISIL BBB-/CRISIL A3",31-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Aashka Hospitals Private Limited,CRISIL B,26-May-15,CRISIL D,13-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Aastha Hospital,CRISIL B,10-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Aastha International,CRISIL B+,27-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Aastha Spintex Private Limited,CRISIL B/CRISIL A4,15-Apr-15,"CRISIL BB-/CRISILA4+",28-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Aatash Power Private Limited,CRISIL BBB-,3-Jul-13,CRISIL BB+,17-Oct-14,CRISIL BBB-,4-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Aathi Velan Mills,CRISIL B+,22-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Aauraa International,CRISIL BB-/CRISIL A4+,6-Nov-14,"CRISIL BB/CRISILA4+",10-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Aayur Technology Solutions Private Limited,CRISIL B+/CRISIL A4,9-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,ABA Builders Limited,CRISIL B,18-Nov-08,Suspended,19-Nov-13,CRISIL A4+,28-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Abacus,CRISIL B+/CRISIL A4,7-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Abad Fisheries Private Limited,CRISIL A3,30-Nov-12,CRISIL A3+,19-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Abad Overseas Private Limited,CRISIL A4+,30-Nov-12,CRISIL A3,19-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Abaj Electronics Private Limited,CRISIL B-/CRISIL A4,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,ABB Global Industries and Services Private Limited,CRISIL AA/CRISIL A1+,29-Jun-09,"CRISIL AA+/CRISILA1+",4-Oct-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,ABB India Limited,CRISIL A1+,19-Nov-93,"CRISIL AAA/CRISILA1+",28-Apr-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Abbeline Impex Private Limited,CRISIL B,25-Mar-14,CRISIL D,28-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,ABC Bearings Limited,CRISIL A/CRISIL A1,30-Jun-10,"CRISIL A-/CRISILA2+",12-Apr-13,"CRISIL BBB+/CRISILA2",19-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,ABC Chemical Exports Private Limited,CRISIL BB/CRISIL A4+,30-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,ABC Cotspin Private Limited,CRISIL BB,24-May-13,CRISIL BBB-,5-Jun-14,"CRISIL BBB-/CRISILA3",17-Jul-15,"CRISIL D/CRISILD",22-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,ABC Fruits,CRISIL C,29-Aug-12,CRISIL D,21-Jan-14,CRISIL B,14-Jan-15,CRISIL B+,18-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,ABC Inc,CRISIL B+,10-Jul-15,Suspended,27-Dec-16,CRISIL BB-,24-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,ABC Transformers Private Limited,CRISIL B/CRISIL A4,16-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,ABCI Infrastructures Private Limited,CRISIL BB-/CRISIL A4,18-May-09,"CRISIL BB-/CRISILA4+",6-Aug-10,"CRISIL BB/CRISILA4+",23-Nov-11,"CRISIL BBB-/CRISIL A3",26-May-14,"CRISILBBB/CRISILA3+",27-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Abdos Lamitubes Private Limited,CRISIL BBB+,20-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Abdos Oils Private Limited,CRISIL B+,11-Dec-13,CRISIL BB,2-Sep-14,"CRISIL BBB-/CRISILA3",19-May-15,"CRISILBBB/CRISIL A3+",2-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Abdul Rahiman Engineer & Contractor - Udupi,CRISIL BB-/CRISIL A4+,18-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Abharan Jewellers Private Limited,CRISIL BBB,23-Nov-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Abharan Motors Private Limited,CRISIL BB/CRISIL A4+,22-Nov-12,CRISIL BB,5-Mar-14,"CRISIL BB/CRISILA4+",9-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Abhay Ispat (India) Private Limited,CRISIL BBB-,29-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Abhay Nutrition Private Limited,CRISIL C/CRISIL A4,24-Jan-11,"CRISIL B+/CRISILA4",23-Aug-11,Suspended,9-May-13,"CRISIL BBB-/CRISIL A3",30-May-15,"CRISILBBB/CRISILA3+",15-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Abhi Diagnostic Imagings Private Limited,CRISIL BB-/CRISIL A4+,31-Oct-14,CRISIL BB-,28-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Abhigna Rice and Parboiled Industries,CRISIL B,18-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
